symbol,predicted Percent Growth
VHC,1031.430419921875
GIB,1031.430419921875
ALK,1031.430419921875
SKE,1031.430419921875
MCO,1031.430419921875
AM,1031.430419921875
OOMA,1031.430419921875
CULP,1031.430419921875
EAF,1031.430419921875
CURV,1031.430419921875
BXSL,1031.430419921875
ASX,1031.430419921875
SRG,1031.430419921875
PRG,1031.430419921875
IFS,1031.430419921875
ALSN,1031.430419921875
JLL,1031.430419921875
ALX,1031.430419921875
BFH,1031.430419921875
RGT,408.8976745605469
ATUS,260.9084777832031
MVO,248.2505798339844
VOC,63.91447448730469
TSQ,45.21819686889648
EB,39.42966842651367
HUBS,36.61808013916016
HVT,34.574058532714844
LUMN,32.95248794555664
CNNE,31.723012924194336
FL,31.387664794921875
MUSA,30.17643165588379
LZB,28.7664794921875
VALE,28.35016250610352
TLYS,27.832443237304688
CLPR,26.92601585388184
SQ,25.989614486694336
SON,25.801246643066406
THO,25.12042617797852
RHP,24.239885330200195
BHR,23.399394989013672
DAVA,23.28046989440918
CDP,22.98971939086914
VRE,22.873634338378903
COMP,22.80017471313477
KRC,22.79805564880371
GCO,22.75895118713379
OPAD,22.730802536010746
BEKE,22.46966361999512
ESS,22.376277923583984
RSI,22.375045776367188
CXM,22.297439575195312
DKS,21.96305084228516
APLE,21.94144630432129
BDN,21.732994079589844
OLP,21.658292770385746
FRT,21.34013557434082
CWK,21.0813045501709
AXL,21.05462074279785
JOE,20.917526245117188
OUT,20.709991455078125
BRT,20.6866455078125
CBRE,20.58577919006348
BNL,20.267547607421875
TRNO,20.226911544799805
WSR,20.143892288208008
HIW,20.08285903930664
BPT,19.87455177307129
HOUS,19.844655990600582
FOR,19.84294509887696
ITT,19.812211990356445
DRH,19.78487777709961
O,19.73681259155273
OC,19.69115257263184
VTR,19.658565521240234
IDA,19.61789321899414
ALE,19.523832321166992
CWEN,19.46702766418457
PNR,19.45859336853028
MHK,19.363744735717773
AWI,19.3585205078125
RMAX,19.340490341186523
HPP,19.25421905517578
AGX,19.2387752532959
HUBB,19.22529602050781
HR,19.151811599731445
EBR,19.11540412902832
EMR,19.07864189147949
FPI,19.05248260498047
KRG,19.03678131103516
COLD,19.01616668701172
UGI,19.01097297668457
FCN,19.004772186279297
ARIS,18.986948013305664
PDM,18.98299789428711
FBIN,18.98238754272461
XYL,18.934749603271484
AKA,18.91693878173828
AVB,18.916831970214844
ADC,18.90471076965332
TFII,18.884416580200195
CPT,18.86396217346192
VRT,18.835336685180664
INN,18.75669288635254
MMS,18.746734619140625
PSTL,18.725492477416992
NSA,18.72397422790528
NXRT,18.71991539001465
EGP,18.70104217529297
HRI,18.698972702026367
NRG,18.65468978881836
AMH,18.643531799316406
ESRT,18.63095664978028
AOS,18.609561920166016
KW,18.592309951782227
KEX,18.588579177856445
NREF,18.563852310180664
MODG,18.56244659423828
SKT,18.554079055786133
TKR,18.525609970092773
ATS,18.49955177307129
CHCT,18.494956970214844
EXR,18.486766815185547
ELP,18.48098564147949
GBX,18.47875213623047
CSR,18.471599578857425
FDX,18.467086791992188
ABM,18.44228744506836
GVA,18.43289375305176
PSA,18.43202209472656
MAC,18.406234741210938
EQR,18.39729118347168
AHH,18.36721992492676
CMG,18.36612892150879
SWX,18.35578727722168
ARC,18.338685989379883
AMT,18.337608337402344
SLG,18.330442428588867
PWR,18.293079376220703
CCI,18.28267478942871
BV,18.279949188232425
KFY,18.226991653442383
J,18.22210693359375
PEB,18.219757080078125
NNN,18.204790115356445
PLD,18.20032119750977
REXR,18.1939640045166
RWT,18.14659309387207
UE,18.139623641967773
WPC,18.123624801635746
IIPR,18.108116149902344
CUBE,18.1048583984375
ELS,18.10199546813965
PRIM,18.099027633666992
UDR,18.093626022338867
STWD,18.089000701904297
DOC,18.082494735717773
IRS,18.07465934753418
AKR,18.0634994506836
MITT,18.042505264282227
ARR,18.03084754943848
ORC,18.02440452575684
MAA,18.002731323242188
ARE,18.001230239868164
CUZ,17.997013092041016
ACCO,17.99295997619629
MTZ,17.991445541381836
HNI,17.98688507080078
ESE,17.963478088378906
